job_id,title,company,description,required_skills,experience_required,min_qualification,location,salary_range
20,Python Developer,ByteBuilders,Looking for a skilled Python Developer to join our dynamic team. Excellent growth opportunities.,"Python, Django, Flask, REST API, PostgreSQL, Git",3.6,Any Graduate,Pune,15-25 LPA
21,Data Analyst,DataSolutions Inc,Looking for a skilled Data Analyst to join our dynamic team. Excellent growth opportunities.,"Python, SQL, Excel, Tableau, Power BI, Statistics, Pandas",1.5,B.Tech,Noida,3-19 LPA
22,Cybersecurity Analyst,Quantum Systems,Looking for a skilled Cybersecurity Analyst to join our dynamic team. Excellent growth opportunities.,"Network Security, Ethical Hacking, Firewalls, Security Audits, Python",0.9,BCA,Pune,13-23 LPA
23,System Administrator,WebWorks Ltd,Looking for a skilled System Administrator to join our dynamic team. Excellent growth opportunities.,"Linux, Windows Server, Networking, Bash Scripting, Active Directory",0.8,B.Tech,Gurugram,15-23 LPA
24,Python Developer,FutureSoft,Looking for a skilled Python Developer to join our dynamic team. Excellent growth opportunities.,"Python, Django, Flask, REST API, PostgreSQL, Git",1.6,BCA,Mumbai,8-19 LPA
25,AI Research Intern,TechCorp,Looking for a skilled AI Research Intern to join our dynamic team. Excellent growth opportunities.,"Python, Machine Learning, Research, PyTorch, Mathematics, Deep Learning",1.2,Any Graduate,Mumbai,4-22 LPA
26,Full Stack Developer,Quantum Systems,Looking for a skilled Full Stack Developer to join our dynamic team. Excellent growth opportunities.,"JavaScript, React, Node.js, MongoDB, HTML, CSS, Express",2.7,B.Tech,Delhi,13-22 LPA
27,Business Analyst,AI Innovations,Looking for a skilled Business Analyst to join our dynamic team. Excellent growth opportunities.,"SQL, Excel, Business Intelligence, Requirements Analysis, Communication",1.3,Any Graduate,Remote,6-23 LPA
28,DevOps Engineer,NexGen Technologies,Looking for a skilled DevOps Engineer to join our dynamic team. Excellent growth opportunities.,"Docker, Kubernetes, Jenkins, AWS, Linux, CI/CD, Terraform",1.6,MCA,Noida,11-22 LPA
29,Machine Learning Engineer,WebWorks Ltd,Looking for a skilled Machine Learning Engineer to join our dynamic team. Excellent growth opportunities.,"Python, TensorFlow, PyTorch, Deep Learning, NLP, Computer Vision",1.1,MCA,Bangalore,12-23 LPA
30,AI Research Intern,FutureSoft,Looking for a skilled AI Research Intern to join our dynamic team. Excellent growth opportunities.,"Python, Machine Learning, Research, PyTorch, Mathematics, Deep Learning",1.1,BCA,Bangalore,6-16 LPA
31,Data Scientist,AlphaCode,Looking for a skilled Data Scientist to join our dynamic team. Excellent growth opportunities.,"Python, Machine Learning, Statistics, Pandas, NumPy, Scikit-learn, TensorFlow",1.7,Any Graduate,Hyderabad,7-25 LPA
32,Quality Assurance Engineer,WebWorks Ltd,Looking for a skilled Quality Assurance Engineer to join our dynamic team. Excellent growth opportunities.,"Selenium, Testing, Java, Python, Automation, JIRA",2.7,Any Graduate,Kolkata,10-18 LPA
33,Quality Assurance Engineer,Quantum Systems,Looking for a skilled Quality Assurance Engineer to join our dynamic team. Excellent growth opportunities.,"Selenium, Testing, Java, Python, Automation, JIRA",2.0,BCA,Mumbai,13-21 LPA
34,Cloud Engineer,DigitalDynamics,Looking for a skilled Cloud Engineer to join our dynamic team. Excellent growth opportunities.,"AWS, Azure, Google Cloud, Terraform, Kubernetes, Linux, Networking",2.1,BCA,Mumbai,3-21 LPA
35,Data Analyst,Quantum Systems,Looking for a skilled Data Analyst to join our dynamic team. Excellent growth opportunities.,"Python, SQL, Excel, Tableau, Power BI, Statistics, Pandas",4.3,B.Tech,Hyderabad,6-23 LPA
36,Database Administrator,AI Innovations,Looking for a skilled Database Administrator to join our dynamic team. Excellent growth opportunities.,"SQL, PostgreSQL, MySQL, MongoDB, Database Optimization, Backup Recovery",2.1,MCA,Noida,6-16 LPA
37,Database Administrator,Quantum Systems,Looking for a skilled Database Administrator to join our dynamic team. Excellent growth opportunities.,"SQL, PostgreSQL, MySQL, MongoDB, Database Optimization, Backup Recovery",4.3,Any Graduate,Mumbai,3-25 LPA
38,Business Analyst,AlphaCode,Looking for a skilled Business Analyst to join our dynamic team. Excellent growth opportunities.,"SQL, Excel, Business Intelligence, Requirements Analysis, Communication",0.1,BCA,Hyderabad,5-21 LPA
39,Quality Assurance Engineer,SmartTech,Looking for a skilled Quality Assurance Engineer to join our dynamic team. Excellent growth opportunities.,"Selenium, Testing, Java, Python, Automation, JIRA",1.1,M.Tech,Bangalore,5-21 LPA
40,Python Developer,DigitalDynamics,Looking for a skilled Python Developer to join our dynamic team. Excellent growth opportunities.,"Python, Django, Flask, REST API, PostgreSQL, Git",1.3,M.Tech,Pune,9-23 LPA
41,Quality Assurance Engineer,AI Innovations,Looking for a skilled Quality Assurance Engineer to join our dynamic team. Excellent growth opportunities.,"Selenium, Testing, Java, Python, Automation, JIRA",0.9,B.Tech,Bangalore,12-23 LPA
42,Data Scientist,NexGen Technologies,Looking for a skilled Data Scientist to join our dynamic team. Excellent growth opportunities.,"Python, Machine Learning, Statistics, Pandas, NumPy, Scikit-learn, TensorFlow",1.6,BCA,Kolkata,10-23 LPA
43,Cybersecurity Analyst,AI Innovations,Looking for a skilled Cybersecurity Analyst to join our dynamic team. Excellent growth opportunities.,"Network Security, Ethical Hacking, Firewalls, Security Audits, Python",0.3,Any Graduate,Mumbai,5-16 LPA
44,System Administrator,DataSolutions Inc,Looking for a skilled System Administrator to join our dynamic team. Excellent growth opportunities.,"Linux, Windows Server, Networking, Bash Scripting, Active Directory",3.4,B.Tech,Remote,4-24 LPA
45,AI Research Intern,FutureSoft,Looking for a skilled AI Research Intern to join our dynamic team. Excellent growth opportunities.,"Python, Machine Learning, Research, PyTorch, Mathematics, Deep Learning",3.0,Any Graduate,Mumbai,9-25 LPA
46,Product Manager,FutureSoft,Looking for a skilled Product Manager to join our dynamic team. Excellent growth opportunities.,"Product Strategy, Agile, Stakeholder Management, Market Research, Communication",2.6,MCA,Hyderabad,13-20 LPA
47,AI Research Intern,CloudNine Systems,Looking for a skilled AI Research Intern to join our dynamic team. Excellent growth opportunities.,"Python, Machine Learning, Research, PyTorch, Mathematics, Deep Learning",2.0,MCA,Noida,8-16 LPA
48,Python Developer,SmartTech,Looking for a skilled Python Developer to join our dynamic team. Excellent growth opportunities.,"Python, Django, Flask, REST API, PostgreSQL, Git",3.1,Any Graduate,Mumbai,4-23 LPA
49,DevOps Engineer,InnovateLabs,Looking for a skilled DevOps Engineer to join our dynamic team. Excellent growth opportunities.,"Docker, Kubernetes, Jenkins, AWS, Linux, CI/CD, Terraform",1.3,MCA,Mumbai,6-20 LPA
50,Web Developer,AI Innovations,Looking for a skilled Web Developer to join our dynamic team. Excellent growth opportunities.,"HTML, CSS, JavaScript, PHP, MySQL, WordPress, jQuery",2.2,Any Graduate,Pune,12-25 LPA
